City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,knysna,-34.0363,23.0471,22.63,61,93,1.67,ZA,1682258695
155,enumclaw,47.2043,-121.9915,10.14,95,100,2.24,US,1682258696
156,saint anthony,45.0205,-93.218,2.25,72,0,4.12,US,1682258698
157,diamantina,-18.2494,-43.6003,20.74,66,79,4.06,BR,1682258699
158,seddon,-37.8068,144.8916,14.31,89,40,2.57,AU,1682258700
159,buala,-8.145,159.5921,27.3,83,28,2.42,SB,1682258703
160,necochea,-38.5473,-58.7368,15.51,66,0,2.75,AR,1682258423
161,alofi,-19.0595,-169.9187,20.94,94,27,2.06,NU,1682258705
162,tecoanapa,16.5167,-98.75,27.59,75,59,1.15,MX,1682258706
163,kropotkin,45.4375,40.5756,16.1,58,87,1.99,RU,1682258708
164,christchurch,-43.5333,172.6333,11.29,76,100,4.12,NZ,1682258299
165,tasiilaq,65.6145,-37.6368,-0.91,82,79,0.98,GL,1682258710
166,olafsvik,64.8945,-23.7142,3.02,51,22,2.25,IS,1682258712
167,tyrma,50.0833,132.1667,0.86,83,100,2.15,RU,1682258713
168,batagay-alyta,67.8006,130.4114,-15.43,97,86,2.86,RU,1682258715
169,dingle,10.9995,122.6711,26.89,81,50,3.06,PH,1682258717
170,pitimbu,-7.4706,-34.8086,31.33,64,89,6.03,BR,1682258718
171,corowa,-36.0333,146.3833,12.45,87,0,2.54,AU,1682258719
172,chuy,-33.6971,-53.4616,22.35,61,76,2.91,UY,1682258720
173,maua,-23.6678,-46.4614,25.0,70,0,2.39,BR,1682258722
174,dudinka,69.4058,86.1778,2.57,97,99,7.95,RU,1682258448
175,kondopoga,62.2057,34.2614,5.82,80,100,1.94,RU,1682258724
176,valdepenas,38.7621,-3.3848,23.43,24,1,4.46,ES,1682258725
177,xining,36.6167,101.7667,4.47,61,100,2.18,CN,1682258543
178,la romana,18.4273,-68.9728,26.2,83,40,0.0,DO,1682258465
179,dikson,73.5069,80.5464,-1.02,91,98,5.05,RU,1682258730
180,nanortalik,60.1432,-45.2371,1.81,79,59,3.28,GL,1682258732
181,chara,56.9064,118.2631,-6.33,70,100,1.44,RU,1682258734
182,moundou,8.5667,16.0833,39.13,29,20,2.06,TD,1682258735
183,thompson,55.7435,-97.8558,-7.91,67,20,2.06,CA,1682258445
184,buritizeiro,-17.3511,-44.9622,26.3,53,99,2.9,BR,1682258738
185,dawlatabad,36.4141,64.9053,27.9,12,86,4.45,AF,1682258739
186,port-gentil,-0.7193,8.7815,31.98,55,20,2.06,GA,1682258740
187,rondonopolis,-16.4708,-54.6356,23.8,85,92,1.78,BR,1682258742
188,vermillion,42.7794,-96.9292,1.56,59,43,2.21,US,1682258695
189,port elizabeth,-33.918,25.5701,27.28,47,0,2.57,ZA,1682258443
190,berezovka,53.7214,25.4993,18.17,37,11,3.76,BY,1682258745
191,harper,4.375,-7.7169,29.2,75,64,3.78,LR,1682258512
192,ibotirama,-12.1853,-43.2206,32.31,33,31,3.23,BR,1682258748
193,hornepayne,49.2138,-84.7705,-2.66,94,100,3.03,CA,1682258751
194,luderitz,-26.6481,15.1594,20.89,46,47,5.56,NA,1682258481
195,morant bay,17.8815,-76.4093,30.95,62,0,1.17,JM,1682258754
196,lompoc,34.6391,-120.4579,10.85,96,100,5.66,US,1682258432
197,maxixe,-23.8597,35.3472,29.91,66,0,4.12,MZ,1682258413
198,charters towers,-20.1,146.2667,20.27,77,50,4.26,AU,1682258757
199,kununurra,-15.7667,128.7333,18.99,82,0,0.0,AU,1682258759
200,half moon bay,37.4636,-122.4286,12.95,91,100,4.63,US,1682258760
201,yerofey pavlovich,53.9667,121.9667,-6.01,86,5,1.48,RU,1682258761
202,ixtapa,20.7,-105.2,22.9,83,40,0.0,MX,1682258762
203,astana,51.1801,71.446,13.97,33,20,4.0,KZ,1682258502
204,uhlove,44.8215,33.6045,13.9,66,59,3.65,UA,1682258765
205,matagami,49.7502,-77.6328,3.06,93,100,5.66,CA,1682258766
206,maceio,-9.6658,-35.7353,30.69,62,40,6.17,BR,1682258585
207,upernavik,72.7868,-56.1549,0.1,99,100,1.84,GL,1682258769
208,clyde river,70.4692,-68.5914,-8.87,86,40,7.72,CA,1682258770
209,sept-iles,50.2001,-66.3821,6.14,79,75,8.23,CA,1682258642
210,bengkulu,-3.8004,102.2655,26.55,87,93,1.86,ID,1682258773
211,pringsewu,-5.3582,104.9744,24.35,95,74,0.42,ID,1682258774
212,puerto ayora,-0.7393,-90.3518,26.42,92,99,3.58,EC,1682258440
213,broome,42.2506,-75.833,12.57,79,75,3.6,US,1682258776
214,muravlenko,63.7898,74.523,1.35,95,100,5.22,RU,1682258778
215,coihaique,-45.5752,-72.0662,10.34,76,100,0.0,CL,1682258779
216,high level,58.5169,-117.136,0.06,86,75,1.03,CA,1682258780
217,cabo san lucas,22.8909,-109.9124,25.28,28,0,5.14,MX,1682258149
218,kapaa,22.0752,-159.319,21.18,85,75,3.6,US,1682258784
219,egvekinot,66.3167,-179.1667,-14.61,77,6,4.91,RU,1682258785
220,marrakesh,31.6315,-8.0083,29.04,37,7,3.09,MA,1682258786
221,waingapu,-9.6567,120.2641,25.72,87,80,3.77,ID,1682258485
